,title,author,rating,price,available
0,TOKYO GHOUL 01,Sui Ishida,4.6,₹567.00,Not Available
1,"Tokyo Ghoul, Vol. 2",Sui Ishida,4.8,₹635.01,Not Available
2,Sports Manga Essentials (Manga 101),"Ryosuke Oda, Eiichiro,Kishimoto, Masashi,Tsukuda, Yuto,Kubo, Tite,Takeuchi",,₹0.00,Not Available
3,"Death Note Black Edition, Vol. 1 (Volume 1) [Paperback] Obata, Takeshi and Ohba, Tsugumi",Takeshi Obata and Tsugumi Ohba,4.7,₹631.00,Not Available
4,Berserk Volume 1,Kentaro Miura,4.8,₹699.00,Not Available
5,Blue Lock 1,Muneyuki Kaneshiro,4.7,₹643.00,Not Available
6,"Tokyo Ghoul Manga Vol. 1,2,3",Sui Ishida,3.3,₹484.00,Not Available
7,MANGA DEMON SLAYER Vol. 1 (Demon Slayer: Kimetsu no Yaiba) Volume.1,,,₹350.00,Not Available
8,AK TERPRISES I Want to Eat Your Pancreas (Manga) Paperback – 22 January 2019,NIL,4.7,₹380.00,Not Available
9,Attack on Titan Vol. 1,Hajime Isayama,,,Not Available
10,Color BTS! The Most Beautiful BTS Coloring Book For ARMY,Kpop-Ftw Print,4.5,₹243.00,Not Available
11,Always,S Yumi Yamamoto,3.8,₹266.00,Not Available
12,Sakamoto Days Vol. 01: Volume 1,Yuto Suzuki,4.8,₹524.00,Not Available
13,MANGA DEMON SLAYER Vol. 5 (Demon Slayer: Kimetsu no Yaiba) Volume.5,,,₹290.00,Not Available
14,Stupid Husband: Vol. 01 (NT manga Book 1),Minh Tran,,,Not Available
15,"Hunter X Hunter, Vol. 01: The Day of Departure: Volume 1",Yoshihiro Togashi,4.8,₹488.00,Not Available
16,MANGA DEMON SLAYER BOOKS SET OF 23 BOOKS (Demon Slayer Complete Box Set: Kimetsu no Yaiba) Includes volumes 1-23,,,"₹3,499.00",Not Available
17,"Spy x Family, Vol. 1 (Volume 1) [Paperback] Endo, Tatsuya",Tatsuya Endo,4.7,₹445.00,Not Available
18,Death Note 01: Boredom: Volume 1,Tsugumi Ohba,4.6,₹499.00,Not Available
19,Vinland Saga 2,Makoto Yukimura,4.9,"₹1,004.00",Not Available
20,TOKYO GHOUL 04 [Paperback] Sui Ishida [Paperback] Sui Ishida,Sui Ishida,4.8,₹572.00,Not Available
21,Yu-Gi-Oh! Volume 2,Kazuki Takahashi,4.0,₹750.00,Not Available
